Country	Area	Location	Month	Year	Time	Sex	Age	Type	Injury Categories	Species
USA	Hawaii	Hapuna Beach	Jan	2015	11h45	M	58	Unprovoked	Lacerations	Tiger shark, 8 to 12 feet
FRENCH POLYNESIA	Bora Bora	Anau	Jan	2015	10h00	M	9	Unprovoked	Limbs bitten	Blacktip shark
AUSTRALIA	New South Wales	Julian Rocks, Byron Bay	Dec	2015	Morning	M	unknown	Boat	Minor injury	unknown
MEXICO	Sinaloa	Mazlatan	Dec	2015	10h20	M	36	Provoked	Limbs bitten	unknown
FRENCH POLYNESIA	Central Tuamotu	Tupapati, Hikueru Atoll	Dec	2015	unknown	M	18 months	Unprovoked	Limbs bitten	Blacktip Reef shark 
ATLANTIC OCEAN	unknown	unknown	Dec	2015	unknown	unknown	unknown	Boat	Limbs bitten	White shark
REUNION	d’Étang-Salé	Ravine Mula	Dec	2015	18h30	F	22	Unprovoked	Lethal	Tiger shark, 3.5 m
AUSTRALIA	New South Wales	Shelly Beach	Dec	2015	10h00	M	41	Unprovoked	Lethal	3.5 to 4 m shark
AUSTRALIA	New South Wales	Seven Mile Beach, Byron Bay	Dec	2015	06h45	M	35	Unprovoked	Lacerations	2 m to  3 m shark
AUSTRALIA	New South Wales	Mereweather Beach	Dec	2015	unknown	M	unknown	Unprovoked	Puncture wounds	1.8 m shark
AUSTRALIA	Queensland	Nerang River, Surfer's  Paradise	Nov	2015	05h00	M	57	Boat	Minor injury	Bull shark, 1.3 m
USA	Hawaii	Lahaina	Nov	2015	03h30	M	20	Provoked	Lacerations	4' shark
AUSTRALIA	New South Wales	Flat Rock	Nov	2015	unknown	M	unknown	Unprovoked	Minor injury	unknown
USA	Florida	Off Panama City	Nov	2015	unknown	M	unknown	Boat	Limbs bitten	White shark
AUSTRALIA	New South Wales	Off Blacksmith Beach	Nov	2015	13h45	M	unknown	Boat	Minor injury	5 m shark
AUSTRALIA	New South Wales	Mollymook Beach, Bannister Head	Nov	2015	unknown	M	17	Unprovoked	Limbs bitten	1.5 m shark
BAHAMAS	Abaco Islands	Tahiti Beach, Elbow Cay	Oct	2015	16h00	F	34	Unprovoked	Limbs bitten	White shark or oceanic whitetip shark
SOUTH AFRICA	Eastern Cape Province	Chintsa East Beach	Oct	2015	08h00	M	15	Unprovoked	Lacerations	Raggedtooth shark, 1.3 m
USA	Florida	Windsor Beach, Indian River County	Oct	2015	Afternoon	M	12	Unprovoked	Limbs bitten	"""A small shark"""
AUSTRALIA	New South Wales	Bherwerre Beach	Oct	2014	Morning	unknown	unknown	Unprovoked	Lacerations	2 m shark
AUSTRALIA	Western Australia	Three Stripes near Cheynes Beach	Oct	2014	Morning	M	17	Unprovoked	Lethal	White shark, 4 to 5 m
GREECE	unknown	33 nautical miles off Othonoi Island	Oct	2014	unknown	unknown	unknown	Sea Disaster	Limbs bitten	Shark involvement prior to death still to be determined
USA	California	Montaña de Oro State Park, San Luis Obispo County 	Oct	2014	11h30	M	50	Unprovoked	Minor injury	White shark, 8' to 10'
AUSTRALIA	Victoria	Paradise Beach	Oct	2014	Morning	M	40s	Provoked	Lacerations	1.5 m shark
JAPAN	unknown	unknown	Oct	2014	unknown	M	unknown	Unprovoked	Minor injury	Goblin shark
AUSTRALIA	Queensland	Rudder Reef	Oct	2014	11h30	M	17	Unprovoked	Lethal	unknown
SPAIN	Granada	Off Motril	Oct	2014	07h00	M	unknown	Provoked	Limbs bitten	unknown
AUSTRALIA	Western Australia	Pyramids Beach, Port Bouvard	Oct	2014	Sometime between 06h00 & 08hoo	M	13	Unprovoked	Minor injury	unknown
