,Case Number,Year,Country,Activity,Sex,Age,Fatal (Y/N)
134,2015.10.05.a,2015,USA,Wading,M,13.0,N
135,2015.10.04,2015,USA,Surfing,M,14.0,N
136,2015.09.29,2015,USA,Surfing,M,22.0,N
137,2015.09.26,2015,AUSTRALIA,Snorkeling,F,7.0,N
138,2015.09.24,2015,USA,Kayak fishing,M,,N
139,2015.09.20.d,2015,USA,Surfing,M,14.0,N
140,2015.09.20.c,2015,USA,Spearfishing,M,27.0,N
141,2015.09.20.b,2015,USA,Wading,M,12.0,N
142,2015.09.20.a,2015,USA,Photographing fish,M,16.0,N
143,2015.09.18,2015,USA,Swimming,M,,N
144,2015.09.17,2015,USA,Surfing,M,20.0,N
145,2015.09.08,2015,AUSTRALIA,Surfing,M,42.0,N
146,2015.09.06,2015,USA,Stand-Up Paddleboarding,F,50.0,N
147,2015.09.05,2015,USA,Kayak Fishing,M,29.0,N
148,2015.09.04,2015,AUSTRALIA,Surf-skiing,M,62.0,N
149,2015.09.03,2015,USA,,M,,N
150,2015.09.01,2015,THAILAND,Wading,F,37.0,N
151,2015.09.00,2015,FIJI,Spearfishing,M,,N
152,2015.08.29.b,2015,USA,Surfing,F,54.0,N
153,2015.08.29.a,2015,USA,Surfing,M,21.0,N
154,2015.08.22.b,2015,USA,,M,,N
155,2015.08.22.a,2015,AUSTRALIA,Surfing,M,38.0,N
156,2015.08.20,2015,USA,Surfing,M,15.0,N
157,2015.08.19,2015,USA,Walking,F,10.0,N
