,Case Number,Year,Country,Activity,Sex,Age,Fatal (Y/N)
3085,1973.00.00.b,1973,PALAU,Scuba diving & U/W photography,M,,N
3086,1973.00.00.a,1973,SOUTH AFRICA,Surfing,M,13.0,N
3087,1972.12.31,1972,SOUTH AFRICA,Treading water,M,29.0,N
3088,1972.12.26,1972,MOZAMBIQUE,Swimming,M,25.0,N
3089,1972.12.25,1972,MEXICO,Body surfing,M,17.0,Y
3090,1972.12.24,1972,SOUTH AFRICA,Swimming,M,,N
3091,1972.12.22,1972,AUSTRALIA,,M,,N
3092,1972.12.08,1972,AUSTRALIA,,,24.0,N
3093,1972.12.01,1972,REUNION,Spearfishing,,,Y
3094,1972.10.22,1972,AUSTRALIA,Spearfishing,M,24.0,N
3095,1972.10.21,1972,AUSTRALIA,Surfing,M,19.0,N
3096,1972.10.14.b,1972,USA,Scuba diving,M,,Y
3097,1972.10.14.a,1972,USA,Surfing,M,17.0,N
3098,1972.10.10.R,1972,NEW ZEALAND,Swimming,M,17.0,N
3099,1972.09.09,1972,USA,Surfing,M,,N
3100,1972.09.04,1972,MOZAMBIQUE,Swimming,F,20.0,N
3101,1972.08.29,1972,USA,Surfing,M,15.0,N
3102,1972.08.17,1972,USA,Spearfishing,M,,N
3103,1972.08.08,1972,AUSTRALIA,Diving for abalone,M,45.0,N
3104,1972.07.05,1972,USA,Diving,,,N
3105,1972.06.26.b,1972,AUSTRALIA,,M,,Y
3106,1972.06.26.a,1972,AUSTRALIA,,M,,Y
3107,1972.06.10,1972,USA,Surfing,M,22.0,N
3108,1972.05.28,1972,USA,Free diving for abalone,M,32.0,N
3109,1972.05.06,1972,FRENCH POLYNESIA,Spearfishing,M,27.0,N
3110,1972.04.16,1972,WESTERN SAMOA,Swimming,M,25.0,Y
3111,1972.04.01.b,1972,AUSTRALIA,,F,,N
3112,1972.04.01.a,1972,MOZAMBIQUE,Swimming,M,19.0,Y
3113,1972.03.21,1972,PACIFIC OCEAN ,Fishing,M,33.0,N
3114,1972.03.16,1972,USA,Spearfishing,M,,N
3115,1972.02.20,1972,AUSTRALIA,Surfing,M,18.0,N
3116,1972.02.12,1972,AUSTRALIA,,,,N
3117,1972.01.01.c,1972,SOUTH AFRICA,Swimming,M,20.0,Y
3118,1972.01.01.b,1972,SOUTH AFRICA,Sitting in shallows,F,30.0,N
3119,1972.01.01.a,1972,MOZAMBIQUE,Standing,M,24.0,N
3120,1972.00.00.b,1972,FRANCE,Swimming,,,N
3121,1972.00.00.a,1972,MARSHALL ISLANDS,"Free diving, collecting shells",M,,N
3122,1971.12.23,1971,AUSTRALIA,,,22.0,N
3123,1971.12.16,1971,SOUTH AFRICA,Swimming,F,16.0,N
3124,1971.12.05,1971,AUSTRALIA,,M,20.0,Y
3125,1971.11.27,1971,HONG KONG,Freedom Swimming,M,20.0,N
3126,1971.11.25.R,1971,AUSTRALIA,,,20.0,N
3127,1971.10.23,1971,USA,Surfing,M,18.0,N
3128,1971.10.14,1971,SOUTH AFRICA,Swimming,M,25.0,N
3129,1971.10.02,1971,USA,Scuba diving,M,30.0,N
3130,1971.09.25,1971,USA,Surfing,,17.0,N
3131,1971.09.07,1971,CROATIA,Swimming,M,34.0,Y
3132,1971.09.05,1971,AUSTRALIA,Fishing,M,51.0,Y
3133,1971.08.21,1971,AUSTRALIA,Scuba diving & feeding fish,M,26.0,N
3134,1971.07.26,1971,USA,Wading,M,8.0,N
3135,1971.07.19,1971,USA,Hookah diving (submerged),M,,N
3136,1971.06.30,1971,SOUTH AFRICA,Surfing,M,21.0,N
3137,1971.06.01,1971,BRITISH ISLES,Scuba diving,M,32.0,N
3138,1971.04.16R,1971,KENYA,Swimming,M,16.0,N
3139,1971.04.11,1971,SOUTH AFRICA,Swimming,M,,Y
3140,1971.04.06,1971,MEXICO,Surfing,M,19.0,Y
3141,1971.04.05.b,1971,VENEZUELA,,M,14.0,Y
3142,1971.04.05.a,1971,VENEZUELA,,M,66.0,Y
3143,1971.04.00,1971,MOZAMBIQUE,Wreck of the 1689-ton Portuguese  coaster Angoche,,,Y
3144,1971.03.30,1971,NEW ZEALAND,Surfing,M,16.0,N
3145,1971.01.02,1971,AUSTRALIA,Swimming,M,,N
3146,1971.00.00.c,1971,AUSTRALIA,Surfing,M,15.0,N
3147,1971.00.00.b,1971,IRAN,,M,,N
3148,1971.00.00.a,1971,IRAN,,M,,N
3149,1970.12.17,1970,MOZAMBIQUE,Fishing for prawns,M,18.0,Y
3150,1970.12.13,1970,MOZAMBIQUE,Fishing for prawns,M,,Y
3151,1970.12.07,1970,MICRONESIA,Fishing,M,,N
3152,1970.12.03,1970,USA,Shipwreck,M,41.0,N
3153,1970.11.00,1970,,,M,,N
3154,1970.10.24,1970,USA,Body surfing,M,,N
3155,1970.10.00,1970,USA,Surfing,M,,N
3156,1970.09.28,1970,MICRONESIA,Diving,M,43.0,N
3157,1970.09.13,1970,PALAU,Spearfishing,M,20.0,N
3158,1970.09.05,1970,USA,Floating on a raft,M,18.0,N
3159,1970.09.02,1970,AUSTRALIA,,M,20.0,N
3160,1970.09.00.c,1970,USA,Swimming,M,,N
3161,1970.09.00.a,1970,USA,Scuba diving,M,,N
3162,1970.08.02,1970,,Sea Disaster Sinking of ferryboat Christina,,,Y
3163,1970.07.05,1970,,,M,,N
3164,1970.06.22,1970,USA,Fishing,M,13.0,N
3165,1970.06.15,1970,SOUTH AFRICA,Scuba Diving,M,25.0,N
3166,1970.06.13.b,1970,GRENADA,Wading,M,16.0,Y
3167,1970.06.13.a,1970,GRENADA,Wading,M,18.0,Y
3168,1970.06.00,1970,PHILIPPINES,Motor launch Baby Princesa capsized with 22 people on board,,,Y
3169,1970.04.04,1970,GRENADA,Swimming,M,14.0,Y
3170,1970.04.00.b,1970,,Freediving,M,,N
3171,1970.04.00.a,1970,SOLOMON ISLANDS,Swimming,M,,UNKNOWN
3172,1970.03.31,1970,USA,Body surfing,M,,Y
3173,1970.03.23,1970,USA,Wading,M,19.0,N
3174,1970.02.05,1970,,Wading,F,8.0,N
3175,1970.01.23.d,1970,MOZAMBIQUE,Swimming,M,14.0,N
3176,1970.01.23.c,1970,MOZAMBIQUE,Swimming,M,16.0,N
3177,1970.01.23.b,1970,MOZAMBIQUE,Swimming,M,12.0,N
3178,1970.01.23.a,1970,MOZAMBIQUE,Swimming,M,10.0,N
3179,1970.01.16,1970,EGYPT,Air disaster,M,,Y
3180,1970.01.10,1970,MEXICO,Swimming,M,22.0,N
3181,1970.01.09.R,1970,ENGLAND,Attempted to return injured shark to the sea,M,,N
3182,1970.01.00,1970,PAPUA NEW GUINEA,Freediving,M,15.0,N
3183,1970.00.00.h,1970,SRI LANKA,Spearfishing / freediving,M,,N
3184,1970.00.00.g,1970,SPAIN,Spearfishing,M,,N
3185,1970.00.00.f,1970,ITALY,Fishing on a boat,M,,N
3186,1970.00.00.e,1970,CROATIA,Spearfishing,M,,UNKNOWN
3187,1970.00.00.d,1970,IRAQ,Washing cooking pans,F,28.0,N
3188,1970.00.00.c,1970,IRAQ,Washing clothes on stairs,F,25.0,N
3189,1970.00.00.b,1970,IRAQ,Swimming,M,35.0,Y
3190,1970.00.00.a,1970,IRAQ,"Fishing, trying to catch the end of his fishing line",M,35.0,N
3191,1969.11.30,1969,AUSTRALIA,Swimming,M,15.0,N
3192,1969.11.11,1969,USA,Scuba diving for lobsters,M,,N
3193,1969.11.05,1969,AUSTRALIA,,M,27.0,N
3194,1969.10.14,1969,USA,Diving,M,,N
3195,1969.09.06,1969,USA,Free diving for abalone,M,53.0,N
3196,1969.08.29,1969,USA,Floating on his back,M,,N
3197,1969.08.22,1969,USA,Fishing,M,28.0,N
3198,1969.08.02,1969,USA,Surfing,M,15.0,N
3199,1969.08.01,1969,USA,Body surfing,M,13.0,N
3200,1969.08.00,1969,,,M,25.0,N
3201,1969.07.27,1969,ENGLAND,,M,,N
3202,1969.07.22,1969,USA,,M,13.0,N
3203,1969.07.20,1969,USA,Freediving for abalone (at surface),M,,N
3204,1969.06.27,1969,USA,Wading,M,22.0,UNKNOWN
3205,1969.06.12,1969,JAMAICA,Diving,M,27.0,N
3206,1969.06.00,1969,USA,Wading,M,8.0,N
3207,1969.05.25,1969,USA,Surf-fishing,M,,N
3208,1969.05.24,1969,USA,Diving,M,23.0,N
3209,1969.05.22,1969,DOMINICAN REPUBLIC,Surfing,M,18.0,UNKNOWN
3210,1969.05.14,1969,AUSTRALIA,,,,N
3211,1969.04.22,1969,AUSTRALIA,Netting pilchards,M,,N
3212,1969.04.19,1969,USA,Fishing,M,,N
3213,1969.03.25,1969,AUSTRALIA,,M,65.0,N
3214,1969.03.09,1969,USA,Surfing,M,16.0,N
3215,1969.02.17.R,1969,AUSTRALIA,Fishing,M,49.0,N
3216,1969.02.00,1969,AUSTRALIA,Hard hat diving,M,52.0,UNKNOWN
3217,1969.01.27,1969,AUSTRALIA,Freediving,M,21.0,N
3218,1969.01.00,1969,AUSTRALIA,,M,,N
3219,1969.00.00,1969,BAHAMAS,Sight-seeing,,,N
3220,1968.12.29,1968,SOUTH AFRICA,Freediving,M,,N
3221,1968.12.26,1968,AUSTRALIA,Feeding mullet to sharks,M,27.0,N
3222,1968.12.25,1968,NEW ZEALAND,Surfing,M,17.0,N
3223,1968.12.09,1968,AUSTRALIA,,M,,N
3224,1968.12.02,1968,SOUTH AFRICA,Spearfishing,M,28.0,N
3225,1968.12.00,1968,SOUTH AFRICA,,M,30.0,N
3226,1968.11.06,1968,SOUTH AFRICA,Fishing,M,22.0,N
3227,1968.11.02,1968,AUSTRALIA,,M,16.0,N
3228,1968.10.29,1968,BAHAMAS,,M,,N
3229,1968.10.13,1968,USA,Spearfishing using Scuba,M,,N
3230,1968.10.10,1968,PHILIPPINES,Sinking of the ferryboat Dumaguete ,,,N
3231,1968.09.22,1968,USA,Surfing,,,UNKNOWN
3232,1968.09.15,1968,NEW ZEALAND,Spearfishing,M,24.0,Y
3233,1968.08.24,1968,USA,Playing with a frisbee in the shallows,,,N
3234,1968.08.21,1968,USA,Standing,M,15.0,N
3235,1968.08.13,1968,FRENCH POLYNESIA,Swimming,M,12.0,N
3236,1968.08.11,1968,MALAYSIA,Leaving the water,,41.0,N
3237,1968.08.08,1968,COLUMBIA,Dynamite fishing,M,18.0,N
3238,1968.07.27,1968,USA,Free diving,M,25.0,N
3239,1968.07.23,1968,USA,Wading,M,33.0,N
3240,1968.07.16,1968,USA,Spearfishing using Scuba,M,33.0,N
3241,1968.07.10,1968,BAHAMAS,Small boat with 2 men onboard hit a submerged coral formation. Men began swimming to shore,M,,Y
3242,1968.07.00,1968,MEXICO,,M,43.0,N
3243,1968.06.25,1968,BAHAMAS,Spearfishing,M,17.0,N
3244,1968.06.09,1968,USA,Clamming,M,17.0,N
3245,1968.06.00,1968,ENGLAND,,M,,N
3246,1968.05.18,1968,TANZANIA,Schooner sank during a storm,,,Y
3247,1968.05.00,1968,PAPUA NEW GUINEA,Standing,M,17.0,N
3248,1968.04.29,1968,USA,Wading,M,63.0,N
3249,1968.04.20,1968,USA,,M,10.0,N
3250,1968.04.15,1968,AUSTRALIA,"Diving. Shark swallowed his hand, so he threw his other around the shark and went shark-back riding for 30 yards until the shark opened its jaws",M,21.0,N
3251,1968.04.11.R,1968,PAPUA NEW GUINEA,Swimming,M,7.0,Y
3252,1968.04.07,1968,AUSTRALIA,,M,47.0,N
3253,1968.03.25,1968,SOUTH AFRICA,Wading & pushing dinghy toward  the shallows,M,35.0,N
3254,1968.03.10,1968,USA,Surfing,M,20.0,N
3255,1968.03.00,1968,USA,Treading water,M,28.0,N
3256,1968.02.26,1968,USA,Surfing,M,17.0,N
3257,1968.02.20,1968,AUSTRALIA,Swimming,F,14.0,N
3258,1968.02.18,1968,NEW ZEALAND,Picking up shark by the tail,F,,N
3259,1968.02.04,1968,AUSTRALIA,Spearfishing,M,26.0,N
3260,1968.02.02,1968,AUSTRALIA,,,,N
3261,1968.02.00,1968,MOZAMBIQUE,Diving,,24.0,N
3262,1968.01.17,1968,PAPUA NEW GUINEA,Swimming,,13.0,Y
3263,1968.00.00.c,1968,COSTA RICA,Swimming after his canoe capsized,M,,Y
3264,1968.00.00.b,1968,USA,Diving,,,N
3265,1968.00.00.a,1968,USA,Surfing,,,UNKNOWN
3266,1967.12.30,1967,SOUTH AFRICA,Surfing,M,22.0,N
3267,1967.12.21.R,1967,PAPUA NEW GUINEA,Spearfishing,M,32.0,N
3268,1967.12.18,1967,FIJI,,M,27.0,N
3269,1967.12.17,1967,AUSTRALIA,Swimming,M,59.0,Y
3270,1967.12.14,1967,USA,,M,,N
3271,1967.11.30.b,1967,AUSTRALIA,Freediving,M,15.0,N
3272,1967.11.30.a,1967,AUSTRALIA,,M,18.0,N
3273,1967.11.15,1967,FIJI,Freediving,M,21.0,N
3274,1967.11.04,1967,PHILIPPINES,Sinking of the M/V Mindoro during a typhoon,,,Y
3275,1967.11.00,1967,SOUTH AFRICA,,F,,Y
3276,1967.10.26.R,1967,MEXICO,Swimming,,,Y
3277,1967.10.17,1967,USA,Standing on sandbar,M,19.0,N
3278,1967.10.00,1967,TONGA,Swimming,M,17.0,N
3279,1967.09.20,1967,USA,Boat capsized between O'ahu & Molokai,M,,Y
3280,1967.09.13,1967,ITALY,Scuba diving,M,21.0,
3281,1967.09.07.b,1967,PAPUA NEW GUINEA,Diving,,,UNKNOWN
3282,1967.09.07.a,1967,USA,Spearfishing,,,N
3283,1967.09.06,1967,PAPUA NEW GUINEA,Spearfishing,M,,Y
3284,1967.09.01,1967,PAPUA NEW GUINEA,Spearfishing,M,23.0,Y
3285,1967.08.27,1967,USA,Pulling shark from the water,M,24.0,N
3286,1967.08.26,1967,JAPAN,,M,19.0,Y
3287,1967.08.25,1967,ITALY,Spearfishing on Scuba,M,,N
3288,1967.08.19,1967,AUSTRALIA,"Spearfishing, dived to pick up a float line",M,23.0,Y
3289,1967.08.15,1967,BERMUDA,Floating,F,19.0,N
3290,1967.08.14.R,1967,COLUMBIA,,M,,N
3291,1967.08.10,1967,AUSTRALIA,Anti-sabotage night dive exercise alongside destroyer (Scuba diving),M,,Y
3292,1967.08.07,1967,USA,Spearfishing,M,15.0,N
3293,1967.08.00.b,1967,BAHAMAS,Photographing sharks underwater using Scuba,M,41.0,N
3294,1967.08.00.a,1967,SENEGAL,Beach seine netting,M,,N
3295,1967.07.29,1967,USA,Snorkeling,M,20.0,N
3296,1967.07.05,1967,TURKEY,Spearfishing,M,36.0,Y
3297,1967.07.00,1967,USA,Surfing,M,18.0,N
3298,1967.06.13,1967,USA,Spearfishing,M,26.0,N
3299,1967.06.00,1967,ITALY,Fishing boat,M,,N
3300,1967.05.13,1967,AUSTRALIA,,M,30.0,N
3301,1967.05.09,1967,AUSTRALIA,Feeding a shark,M,22.0,N
3302,1967.04.00,1967,UNITED KINGDOM,Fishing,M,60.0,N
3303,1967.03.20,1967,NEW ZEALAND,Freediving,M,21.0,N
3304,1967.03.19,1967,SOUTH AFRICA,Spearfishing,M,32.0,N
3305,1967.03.12,1967,AUSTRALIA,Spearfishing,M,36.0,N
3306,1967.03.10,1967,AUSTRALIA,Vehicle plunged over cliff into the water,,,Y
3307,1967.03.09,1967,NEW ZEALAND,Lifesaving drill,M,21.0,Y
3308,1967.03.01,1967,PAPUA NEW GUINEA,,M,14.0,N
3309,1967.02.06,1967,MEXICO,The shrimper Loless Maurine capsized in heavy seas & the men were swimming ashore  ,M,,Y
3310,1967.01.27,1967,SOUTH AFRICA,Fishing for rock lobster,,,N
3311,1967.01.22,1967,SOUTH AFRICA,Spearfishing Competition,M,,N
3312,1967.01.21,1967,MOZAMBIQUE,Swimming in the channel,M,31.0,N
3313,1967.01.06,1967,AUSTRALIA,Splashing,M,15.0,N
3314,1966.12.31,1966,AUSTRALIA,Fishing,M,30.0,N
3315,1966.12.27.b,1966,AUSTRALIA,Spearfishing,M,29.0,N
3316,1966.12.27.a,1966,AUSTRALIA,Spearfishing,M,19.0,N
3317,1966.12.26,1966,SINGAPORE,Wading,M,39.0,N
3318,1966.12.26,1966,AUSTRALIA,Spearfishing,M,29.0,N
3319,1966.11.14,1966,THAILAND,,,28.0,UNKNOWN
3320,1966.11.00,1966,PAPUA NEW GUINEA,A father bathing his smallest daughter when the shark bumped her out of his arms and carried her into deep water,F,,Y
3321,1966.10.30,1966,PAPUA NEW GUINEA,Swimming,F,13.0,Y
3322,1966.10.29,1966,PAPUA NEW GUINEA,Bathing,F,8.0,Y
3323,1966.09.27,1966,AUSTRALIA,"Free diving, carrying speargun",M,32.0,N
3324,1966.09.19,1966,USA,Fishing,M,20.0,N
3325,1966.09.18,1966,AUSTRALIA,Spearfishing,M,,N
3326,1966.09.13,1966,AUSTRALIA,Spearfishing,M,,UNKNOWN
3327,1966.09.10,1966,AUSTRALIA,Spearfishing,M,43.0,N
3328,1966.09.08.b,1966,USA,Hunting crayfish ,M,14.0,N
3329,1966.09.00,1966,BAHAMAS,Diving / UW photography,M,,N
3330,1966.08.28,1966,AUSTRALIA,,M,,N
3331,1966.08.27.b,1966,SOUTH AFRICA,Netting sharks,M,,N
3332,1966.08.27.a,1966,BAHAMAS,Snorkeling,F,18.0,N
3333,1966.08.21.b,1966,NEW BRITAIN,Swimming,F,13.0,Y
3334,1966.08.21.a,1966,NEW BRITAIN,Diving into water,F,9.0,Y
3335,1966.08.16,1966,CROATIA,Swimming,M,33.0,Y
3336,1966.08.14,1966,TAIWAN,Lobster diving using Scuba,M,,N
3337,1966.08.13,1966,ITALY,Attacked shark with fists,M,21.0,N
3338,1966.08.00.b,1966,USA,Spearfishing on Scuba,M,26.0,N
3339,1966.08.00.a,1966,USA,Wading,M,8.0,N
3340,1966.07.31,1966,USA,Diving for sand dollars,M,16.0,N
3341,1966.07.19,1966,USA,Killing a shark,M,34.0,N
3342,1966.07.17.b,1966,USA,Fishing,M,14.0,N
3343,1966.07.17.a,1966,TAIWAN,Swimming,M,20.0,Y
3344,1966.07.14,1966,PAPUA NEW GUINEA,Swimming,F,25.0,Y
3345,1966.07.03,1966,USA,Free diving,M,46.0,N
3346,1966.07.02,1966,CARIBBEAN SEA,,,,N
3347,1966.06.22,1966,USA,Clamming,M,15.0,N
3348,1966.06.11,1966,USA,Fishing,M,18.0,N
3349,1966.06.04,1966,USA,Swimming,M,18.0,N
3350,1966.06.02,1966,FRENCH POLYNESIA,Fishing,M,,N
3351,1966.05.20.c,1966,AUSTRALIA,Sinking of the dredge World Atlas,M,40.0,Y
3352,1966.05.20.b,1966,AUSTRALIA,Fishing,M,,N
3353,1966.05.20.a,1966,AUSTRALIA,Shipwreck,M,38.0,Y
3354,1966.05.16.b,1966,USA,Spearfishing / Scuba diving,M,24.0,N
3355,1966.05.16.a,1966,PHILIPPINES,The passenger ship Pioneer Cebu  capsized & sank in Typhoon Irma,M,,Y
3356,1966.04.08,1966,USA,Swimming,M,25.0,N
3357,1966.04.00,1966,AUSTRALIA,Overturned skiff,M,,N
3358,1966.03.20,1966,AUSTRALIA,Fishing (big game),,,N
3359,1966.03.12,1966,SUDAN,"The World Liberty and the tanker Mosli collided. The  Halcyon Breeze sent a lifeboat to the rescue, but it was smashed, throwing 6 men in the  water.",M,,Y
3360,1966.02.27,1966,AUSTRALIA,Treading water,M,13.0,N
3361,1966.01.29,1966,SOUTH AFRICA,Helping men land a shark,M,33.0,N
3362,1966.01.25,1966,INDONESIA,wreck of the State Oil Company ship Permina,,,Y
3363,1966.01.22,1966,USA,Free diving / spearfishing (resting on the surface),M,29.0,N
3364,1966.01.15,1966,AUSTRALIA,Spearfishing,M,30.0,N
3365,1966.01.14,1966,COLUMBIA,Colombian  (Avianca) DC-4 airliner plunged into the sea 5 minutes after takeoff,,,Y
3366,1966.01.11,1966,SOUTH AFRICA,Standing,M,16.0,N
3367,1966.01.10,1966,AUSTRALIA,Jumped into the water,M,43.0,N
3368,1966.01.09,1966,SOUTH AFRICA,Body surfing,M,15.0,N
3369,1966.01.08,1966,NEW ZEALAND,Body surfing ,F,15.0,Y
3370,1966.01.05,1966,USA,Swimming,M,35.0,N
3371,1966.00.00,1966,USA,Walking,F,15.0,N
3372,1965.12.28,1965,AUSTRALIA,"Spearfishing, but standing in knee-deep water",M,40.0,N
3373,1965.12.19,1965,JOHNSTON ISLAND,Freediving,M,,N
3374,1965.12.10,1965,AUSTRALIA,Fishing,,,N
3375,1965.11.21.b,1965,AUSTRALIA,Fishing from 34' boat when pulled overboard by hooked shark,M,43.0,Y
3376,1965.11.21.a,1965,PACIFIC OCEAN ,"Hauling dead shark aboard, when another shark leapt out of the water & bit him",M,44.0,N
3377,1965.11.03.b,1965,PANAMA,Argentine Air Force C-54,,,Y
3378,1965.11.03.a,1965,AUSTRALIA,Surfing,M,24.0,N
3379,1965.10.21,1965,,The boat Caribou II sank,M,39.0,N
3380,1965.10.16.b,1965,BAHAMAS,Sunbathing on beach when he saw child being attacked by the shark,M,32.0,N
3381,1965.10.16.a,1965,BAHAMAS,Playing in the water,F,,Y
3382,1965.10.10,1965,NEW BRITAIN,"Spearfishing, shot a turtle",M,15.0,Y
3383,1965.10.00,1965,PAPUA NEW GUINEA,Wading,M,27.0,N
3384,1965.09.21,1965,PAPUA NEW GUINEA,Spearing fish,M,,N
3385,1965.09.12,1965,PAPUA NEW GUINEA,Fishing (rod & line),M,,N
3386,1965.09.08,1965,MEXICO,,M,23.0,N
3387,1965.08.30,1965,PHILIPPINES,"Arsinoe, a French tanker",M,,Y
3388,1965.08.26,1965,USA,Swimming,M,15.0,N
3389,1965.07.30,1965,BAHAMAS,Attempting to anesthetize shark,M,,N
3390,1965.07.26,1965,MEXICO,Bathing,M,25.0,Y
3391,1965.07.02.R,1965,BERMUDA,,,,N
3392,1965.06.19,1965,USA,Wading,M,6.0,N
3393,1965.06.18,1965,USA,"Diving, retrieving film package from Titan 3C rocket",M,,N
3394,1965.06.09,1965,MEXICO,Swimming,M,38.0,N
3395,1965.06.00.b,1965,PAPUA NEW GUINEA,Spearfishing,M,,N
3396,1965.06.00,1965,SOUTH PACIFIC OCEAN,Treading water,M,,Y
3397,1965.05.29,1965,MEXICO,Swimming,M,,Y
3398,1965.05.28,1965,MEXICO,Swimming,M,,Y
3399,1965.05.00.c,1965,EGYPT,Standing,M,,N
3400,1965.05.00.b,1965,JAMAICA,Diving,M,,N
3401,1965.05.00.a,1965,MEXICO,Swimming,M,35.0,N
3402,1965.04.29,1965,USA,,M,49.0,N
3403,1965.04.25,1965,USA,Surfing,M,19.0,Y
3404,1965.04.10,1965,USA,Spearfishing,M,28.0,N
3405,1965.04.04.b,1965,PALAU,Walking on reef,M,8.0,N
3406,1965.04.04.a,1965,USA,Paddling on surfboard,M,17.0,N
3407,1965.03.23,1965,USA,Aircraft exploded,M,,N
3408,1965.03.14,1965,USA,Free diving,M,16.0,N
3409,1965.02.14,1965,SOUTH AFRICA,Treading water,M,25.0,N
3410,1965.02.04,1965,USA,Scuba diving,M,18.0,N
3411,1965.01.25,1965,USA,Motor boat Rebel Belle lost,M,21.0,Y
3412,1965.01.23,1965,SOUTH AFRICA,Paddling rescue ski,M,22.0,N
3413,1965.01.16,1965,SOUTH AFRICA,Body surfing,M,20.0,N
3414,1965.01.10,1965,AUSTRALIA,Swimming,M,,N
3415,1965.01.09,1965,NEW GUINEA,Free diving,M,30.0,Y
3416,1965.00.00.g,1965,USA,Dangling feet in the water,M,13.0,N
3417,1965.00.00.f,1965,USA,Surfing,M,,N
3418,1965.00.00.e,1965,USA,Collecting marine specimens,M,,N
3419,1965.00.00.d,1965,RED SEA,Standing in waist-deep water,M,,N
3420,1965.00.00.c,1965,EGYPT,"Spearfishing, but standing in the water",M,,N
3421,1965.00.00.b,1965,VANUATU,,M,,Y
3422,1965.00.00.a,1965,SOUTH AFRICA,Bather,,,UNKNOWN
3423,1964.12.25,1964,SOUTH AFRICA,Swimming,M,19.0,N
3424,1964.12.10.b,1964,PAPUA NEW GUINEA,,M,,N
3425,1964.12.10.a,1964,AUSTRALIA,Fishing,,,N
3426,1964.12.09,1964,PAPUA NEW GUINEA,"Canoe swamped, swimming back to canoe",M,28.0,N
3427,1964.12.06,1964,KENYA,Fishing with hand line tied to wrist & was pulled into the water,M,10.0,Y
3428,1964.11.29,1964,AUSTRALIA,Free diving with seals,M,25.0,N
3429,1964.11.18,1964,AUSTRALIA,Swimming out to rescue swimmers in difficulty,M,29.0,Y
3430,1964.11.13,1964,AUSTRALIA,"Filming underwater, carrying powerhead",M,25.0,N
3431,1964.11.05,1964,USA,Longline fishing,,,N
3432,1964.10.31,1964,SOUTH AFRICA,Surf fishing,M,,N
3433,1964.10.25,1964,USA,Boat Miss Becky  sank 12 miles from shore,,,N
3434,1964.10.04,1964,AUSTRALIA,"Surfing, but swimming to his board",M,19.0,N
3435,1964.09.27,1964,,Spearfishing,M,24.0,
3436,1964.09.20,1964,TAIWAN,Swimming,M,32.0,Y
3437,1964.09.07,1964,TAIWAN,Swimming,M,20.0,N
3438,1964.08.26,1964,USA,Swimming,M,14.0,N
3439,1964.08.23,1964,MEXICO,Floating on his back in an inner tube,M,19.0,N
3440,1964.08.22,1964,USA,Spearfishing / free diving,M,18.0,N
3441,1964.08.21,1964,USA,Swimming,M,,N
3442,1964.08.08,1964,USA,Spearfishing using scuba,M,28.0,N
3443,1964.08.03,1964,JAPAN,Swimming,M,12.0,N
3444,1964.08.00,1964,PANAMA,Free diving / Spearfishingat edge of reef,M,21.0,N
3445,1964.07.27,1964,USA,,M,22.0,N
3446,1964.07.16,1964,SOUTH AFRICA,Searching for remains of  Dr. Marais,M,30.0,N
3447,1964.07.15,1964,USA,"Yacht Gooney Bird foundered, 4 survivors on raft",,,N
3448,1964.07.08.b,1964,SOUTH AFRICA,Spearfishing ,M,52.0,Y
3449,1964.07.08.a,1964,USA,Tagging sharks,M,,N
3450,1964.07.00.b,1964,PAPUA NEW GUINEA,Standing / fishing,M,,Y
3451,1964.07.00.a,1964,PAPUA NEW GUINEA,canoeing,,,N
3452,1964.06.29.a,1964,BERMUDA,Conducting a promotional film project for the Gemini space program (a practice astronaut recovery),,,Y
3453,1964.06.28,1964,USA,Attempting to swim across the Atlantic Ocean,F,29.0,Y
3454,1964.06.24,1964,USA,Fishing,,,N
3455,1964.06.17,1964,PAPUA NEW GUINEA,Fishing,M,,N
3456,1964.06.23,1964,FIJI,Spearfishing,M,23.0,N
3457,1964.06.02,1964,SOUTH AFRICA,Swimming,M,40.0,Y
3458,1964.05.30,1964,PANAMA,Standing,M,47.0,N
3459,1964.05.08,1964,FIJI,Spearfishing,M,35.0,Y
3460,1964.05.00,1964,PANAMA,Skin diving,M,13.0,Y
3461,1964.04.07,1964,PAPUA NEW GUINEA,Fishing,M,,Y
3462,1964.03.28.b,1964,AUSTRALIA,Surfing,M,19.0,N
3463,1964.03.28.a,1964,PAPUA NEW GUINEA,"Canoe capsized with 10 occupants, 8 survived,  Hamilton swam off to seek help",M,32.0,Y
3464,1964.03.05,1964,USA,Skin diving ,M,38.0,N
3465,1964.03.00,1964,SENEGAL,Free diving for shell,M,,N
3466,1964.02.17.R,1964,FIJI,Fishing,,,N
3467,1964.02.14.b,1964,NEW CALEDONIA,Diving for trochus shell,M,15.0,Y
3468,1964.02.14.a,1964,FIJI,Spearfishing,M,17.0,Y
3469,1964.02.11,1964,NEW ZEALAND,preparing to go skin diving,M,,N
3470,1964.02.10,1964,NEW ZEALAND,Spearfishing,M,26.0,N
3471,1964.02.08,1964,SOUTH AFRICA,Body boarding,M,25.0,N
3472,1964.02.05.b,1964,NEW ZEALAND,Lying in 2 feet of water,M,,N
3473,1964.02.05.a,1964,NEW ZEALAND,Swimming,M,19.0,Y
