,Country,Year,Hemisphere,Season,Date,Case Number,Fatal (Yes/No),pdf,href formula
4184,USA,1952,Northern Hemisphere,Spring,27-May-52,1952.05.27,N,1952.05.27-Taylor_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1952.05.27-Taylor_Collier.pdf
4185,AUSTRALIA,1952,Southern Hemisphere,Fall,Reported 07-May-1952,1952.05.07.R,N,1952.05.07.R-King.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1952.05.07.R-King.pdf
4186,INDIA,1952,Northern Hemisphere,Spring,May-52,1952.05.00,N,1952.05.00-Lal.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1952.05.00-Lal.pdf
4187,AUSTRALIA,1952,Southern Hemisphere,Fall,06-Apr-52,1952.04.06,N,1952.04.06-AlfDean.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1952.04.06-AlfDean.pdf
4188,SUDAN,1952,Northern Hemisphere,Spring,Apr-52,1952.04.00,N,1952.04.00-Hass.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1952.04.00-Hass.pdf
4189,NETHERLANDS ANTILLES,1952,Northern Hemisphere,Winter,30-Mar-52,1952.03.30,N,1952.03.30-Eggink.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1952.03.30-Eggink.pdf
4190,MAURITIUS,1952,Southern Hemisphere,Summer,23-Jan-52,1952.01.23,N,1952.01.23-Moitessier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1952.01.23-Moitessier.pdf
4191,AUSTRALIA,1952,Southern Hemisphere,Summer,07-Jan-52,1952.01.07,N,1952.01.07-CharlesThomas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1952.01.07-CharlesThomas.pdf
4192,LIBERIA,1952,Northern Hemisphere,1952-1954,1952-1954,1952.00.00.e,Y,1952.00.00.e-Liberia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1952.00.00.e-Liberia.pdf
4193,PAPUA NEW GUINEA,1952,Southern Hemisphere,1952,1952,1952.00.00.d,N,1952.00.00.d-ManusIsland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1952.00.00.d-ManusIsland.pdf
4194,PAPUA NEW GUINEA,1952,Southern Hemisphere,1952,1952,1952.00.00.c,Y,1952.00.00.c-Momote.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1952.00.00.c-Momote.pdf
4195,PAPUA NEW GUINEA,1952,Southern Hemisphere,1952,1952,1952.00.00.b,Y,1952.00.00.b-Kiaploki.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1952.00.00.b-Kiaploki.pdf
4196,USA,1952,Northern Hemisphere,1952,1952,1952.00.00.a,Y,1952.00.00.a-PanAmPilot.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1952.00.00.a-PanAmPilot.pdf
4197,MOZAMBIQUE,1951,Northern Hemisphere,Fall,21-Dec-51,1951.12.21,Y,1951.12.21-DoAmaral.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.12.21-DoAmaral.pdf
4198,AUSTRALIA,1951,Southern Hemisphere,Spring,16-Dec-51,1951.12.16,N,1951.12.16-Munn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.12.16-Munn.pdf
4199,AUSTRALIA,1951,Southern Hemisphere,Spring,06-Dec-51,1951.12.06,Y,1951.12.06-Okulich.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.12.06-Okulich.pdf
4200,SOUTH AFRICA,1951,Southern Hemisphere,Spring,29-Nov-51,1951.11.29,N,1951.11.29-Tait.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.11.29-Tait.pdf
4201,JAMAICA,1951,Northern Hemisphere,Fall,28-Nov-51,1951.11.28.b,N,1951.11.28.b-Lewis.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.11.28.b-Lewis.pdf
4202,SOUTH AFRICA,1951,Southern Hemisphere,Spring,28-Nov-51,1951.11.28.a,N,1951.11.28.a-Plowman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.11.28.a-Plowman.pdf
4203,PHILIPPINES,1951,Northern Hemisphere,Fall,Reported 23-Nov-1951,1951.11.23.R,Y,1951.11.22-Philippines.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.11.22-Philippines.pdf
4204,AUSTRALIA,1951,Southern Hemisphere,Spring,22-Oct-51,1951.10.22,Y,1951.10.22-Kenealy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.10.22-Kenealy.pdf
4205,,1951,nan,Spring,05-Oct-51,1951.10.05,N,1951.10.05-SouthernIsle.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.10.05-SouthernIsle.pdf
4206,ITALY,1951,Northern Hemisphere,Summer,29-Sep-51,1951.09.29,Y,1951.09.29-Wurn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.09.29-Wurn.pdf
