,Country,Year,Hemisphere,Season,Date,Case Number,Fatal (Yes/No),pdf,href formula
2179,USA,1995,Northern Hemisphere,1995,1995,1995.00.00.b,UNKNOWN,1995.00.00.b-NV-PawleysIsland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1995.00.00.b-NV-PawleysIsland.pdf
2180,SOUTH AFRICA,1994,Southern Hemisphere,Spring,30-Dec-94,1994.12.30,N,1994.12.30-VanZyl.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.12.30-VanZyl.pdf
2181,USA,1994,Northern Hemisphere,Fall,18-Dec-94,1994.12.18,N,1994.12.18-Kaui-surfer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.12.18-Kaui-surfer.pdf
2182,BRAZIL,1994,Southern Hemisphere,Spring,13-Dec-94,1994.12.13,N,1994.12.13-TiagoCostaDaLima.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.12.13-TiagoCostaDaLima.pdf
2183,BRAZIL,1994,Southern Hemisphere,Spring,11-Dec-94,1994.12.11,N,1994.12.11-JorgeDeOliveiraAndrade.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.12.11-JorgeDeOliveiraAndrade.pdf
2184,VANUATU,1994,Southern Hemisphere,Spring,Reported      10-Dec-1994 ,1994.12.10,UNKNOWN,1994.12.10-NV-Vanuatu.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.12.10-NV-Vanuatu.pdf
2185,AUSTRALIA,1994,Southern Hemisphere,Spring,09-Dec-94,1994.12.09.b,N,1994.12.09.b-Saibura-murder victim.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.12.09.b-Saibura-murder victim.pdf
2186,USA,1994,Northern Hemisphere,Fall,09-Dec-94,1994.12.09.a,Y,1994.12.09.a-Robinson_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.12.09.a-Robinson_Collier.pdf
2187,BRAZIL,1994,Southern Hemisphere,Spring,01-Dec-94,1994.12.01,Y,1994.12.01-LaudenilsonGomesDeLima.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.12.01-LaudenilsonGomesDeLima.pdf
2188,SOUTH AFRICA,1994,Southern Hemisphere,Spring,25-Nov-94,1994.11.25.a,N,1994.11.25-Bosman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.11.25-Bosman.pdf
2189,USA,1994,Northern Hemisphere,Fall,13-Nov-94,1994.11.13,N,1994.11.13-Lunn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.11.13-Lunn.pdf
2190,USA,1994,Northern Hemisphere,Fall,06-Nov-94,1994.11.06.a,N,1994.11.06.a-Stokes.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.11.06.a-Stokes.pdf
2191,BRAZIL,1994,Southern Hemisphere,Spring,18-Oct-94,1994.10.18,N,1994.10.18-Piedade.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.10.18-Piedade.pdf
2192,BRAZIL,1994,Southern Hemisphere,Spring,17-Oct-94,1994.10.17,N,1994.10.17-EdnaldoJoseDaSilva.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.10.17-EdnaldoJoseDaSilva.pdf
2193,USA,1994,Northern Hemisphere,Fall,09-Oct-94,1994.10.08,N,1994.10.08-Parker.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.10.08-Parker.pdf
2194,USA,1994,Northern Hemisphere,Fall,05-Oct-94,1994.10.05,N,1994.10.05-ScottDulmage.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.10.05-ScottDulmage.pdf
2195,USA,1994,Northern Hemisphere,Summer,26-Sep-94,1994.09.26,N,1994.09.26-Kozarinova.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.09.26-Kozarinova.pdf
2196,USA,1994,Northern Hemisphere,Summer,21-Sep-94,1994.09.21,N,1994.09.21-MacKenzie_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.09.21-MacKenzie_Collier.pdf
2197,USA,1994,Northern Hemisphere,Summer,Reported 11-Sep-1994,1994.09.11.R,Y,1994.09.11.R-CubanRefugees.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.09.11.R-CubanRefugees.pdf
2198,USA,1994,Northern Hemisphere,Summer,05-Sep-94,1994.09.05,N,1994.09.05-RoseAnnSavea.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.09.05-RoseAnnSavea.pdf
2199,JAPAN,1994,Northern Hemisphere,Summer,22-Aug-94,1994.08.22,N,1994.08.22-Yashuhara.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.08.22-Yashuhara.pdf
2200,BRAZIL,1994,Southern Hemisphere,Winter,24-Jul-94,1994.07.24,N,1994.07.24-Carlos_Martins.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.07.24-Carlos_Martins.pdf
2201,BRAZIL,1994,Southern Hemisphere,Winter,09-Jul-94,1994.07.09.d,Y,1994.07.09.d-AlessandroGomesDeSouza.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.07.09.d-AlessandroGomesDeSouza.pdf
2202,REUNION,1994,Southern Hemisphere,Winter,09-Jul-94,1994.07.09.c,Y,1994.07.09.c-Boulay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.07.09.c-Boulay.pdf
2203,SOUTH AFRICA,1994,Southern Hemisphere,Winter,09-Jul-94,1994.07.09.b,Y,1994.07.09.b-Corby.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.07.09.b-Corby.pdf
2204,SOUTH AFRICA,1994,Southern Hemisphere,Winter,09-Jul-94,1994.07.09.a,N,1994.07.09.a-Carter.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.07.09.a-Carter.pdf
2205,BRAZIL,1994,Southern Hemisphere,Winter,08-Jul-94,1994.07.08.b,N,1994.07.08.b-SandroPaulosDosSantos.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.07.08.b-SandroPaulosDosSantos.pdf
2206,USA,1994,Northern Hemisphere,Summer,08-Jul-94,1994.07.08.a,N,1994.07.08.a-MichaelPost.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.07.08.a-MichaelPost.pdf
2207,BAHAMAS,1994,Northern Hemisphere,Spring,24-Jun-94,1994.06.24,N,1994.06.24-Curtis.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.06.24-Curtis.pdf
2208,USA,1994,Northern Hemisphere,Spring,31-May-94,1994.05.31.b,N,1994.05.31.b-Polack.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.05.31.b-Polack.pdf
2209,USA,1994,Northern Hemisphere,Spring,31-May-94,1994.05.31.a,N,1994.05.31.a-Reeber.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.05.31.a-Reeber.pdf
2210,USA,1994,Northern Hemisphere,Spring,28-May-94,1994.05.28,N,1994.05.28-Plumer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.05.28-Plumer.pdf
2211,USA,1994,Northern Hemisphere,Spring,24-May-94,1994.05.24,N,1994.05.24-female.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.05.24-female.pdf
2212,USA,1994,Northern Hemisphere,Spring,23-May-94,1994.05.23,N,1994.05.23-Sellmer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.05.23-Sellmer.pdf
2213,USA,1994,Northern Hemisphere,Spring,15-May-94,1994.05.15,N,1994.05.15-Tatro.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.05.15-Tatro.pdf
2214,USA,1994,Northern Hemisphere,Spring,Reported 16-Apr-1994,1994.04.16,Y,1994.04.16-Emster.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.04.16-Emster.pdf
2215,REUNION,1994,Southern Hemisphere,Fall,15-Apr-94,1994.04.15,Y,1994.04.15-Reunion.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.04.15-Reunion.pdf
2216,BAHAMAS,1994,Northern Hemisphere,Spring,06-Apr-94,1994.04.06,N,1994.04.06-Wagemann.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.04.06-Wagemann.pdf
2217,USA,1994,Northern Hemisphere,Spring,03-Apr-94,1994.04.03,N,1994.04.03-Tozo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.04.03-Tozo.pdf
2218,SOUTH AFRICA,1994,Southern Hemisphere,Fall,02-Apr-94,1994.04.02,Y,1994.04.02-dwRies.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.04.02-dwRies.pdf
2219,CHILE,1994,Southern Hemisphere,Summer,23-Mar-94,1994.03.23.b,N,1994.03.23.b-Boswell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.03.23.b-Boswell.pdf
2220,CHILE,1994,Southern Hemisphere,Summer,23-Mar-94,1994.03.23.a,N,1994.03.23.a-Buffington.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.03.23.a-Buffington.pdf
2221,USA,1994,Northern Hemisphere,Winter,07-Mar-94,1994.03.07,N,1994.03.07-Rosenbloome.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.03.07-Rosenbloome.pdf
2222,BRAZIL,1994,Southern Hemisphere,Summer,01-Mar-94,1994.03.01,N,1994.03.01-Albano.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.03.01-Albano.pdf
2223,SOUTH AFRICA,1994,Southern Hemisphere,Summer,27-Feb-94,1994.02.27,N,1994.02.27-Lieberman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.02.27-Lieberman.pdf
2224,USA,1994,Northern Hemisphere,Winter,19-Feb-94,1994.02.19,N,1994.02.19-Riley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.02.19-Riley.pdf
2225,USA,1994,Northern Hemisphere,Winter,13-Feb-94,1994.02.13,N,1994.02.13-Magbanua.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.02.13-Magbanua.pdf
2226,SOUTH AFRICA,1994,Southern Hemisphere,Summer,12-Feb-94,1994.02.12,N,1994.02.12-Anderson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.02.12-Anderson.pdf
2227,NEW CALEDONIA,1994,Southern Hemisphere,Summer,Feb-94,1994.02.00,Y,1994.02.00-Manuireva.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.02.00-Manuireva.pdf
2228,BRAZIL,1994,Southern Hemisphere,Summer,31-Jan-94,1994.01.31.b,N,1994.01.31.b-SG.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.01.31.b-SG.pdf
2229,USA,1994,Northern Hemisphere,Winter,31-Jan-94,1994.01.31.a,Y,1994.01.31.a-Broach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.01.31.a-Broach.pdf
2230,SOUTH AFRICA,1994,Southern Hemisphere,Summer,30-Jan-94,1994.01.30,N,1994.01.30-Austin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.01.30-Austin.pdf
2231,AUSTRALIA,1994,Southern Hemisphere,Summer,Reported 12-Jan-1994,1994.01.12.R,N,1994.01.12.R-Turnbull.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.01.12.R-Turnbull.pdf
2232,AUSTRALIA,1994,Southern Hemisphere,Summer,09-Jan-94,1994.01.09,N,1994.01.09-Cochrane.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.01.09-Cochrane.pdf
2233,SOUTH AFRICA,1994,Southern Hemisphere,Summer,03-Jan-94,1994.01.03,N,1994.01.03-Galbraith.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.01.03-Galbraith.pdf
2234,HONG KONG,1994,Northern Hemisphere,Last incident of 1994 in Hong Kong,Last incident of 1994 in Hong Kong,1994.00.00.b,N,1994.00.00.b-NV-HongKong.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.00.00.b-NV-HongKong.pdf
2235,USA,1994,Northern Hemisphere,1994,1994,1994.00.00.a,N,1994.00.00.a--JeffWeakley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1994.00.00.a--JeffWeakley.pdf
2236,USA,1993,Northern Hemisphere,Fall,Dec-93,1993.12.00,Y,1993.12.00-McMoyler.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.12.00-McMoyler.pdf
2237,USA,1993,Northern Hemisphere,Fall,28-Nov-93,1993.11.28,N,1993.11.28-Johnson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.11.28-Johnson.pdf
2238,AUSTRALIA,1993,Southern Hemisphere,Spring,21-Nov-93,1993.11.21,Y,1993.11.21-Bisley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.11.21-Bisley.pdf
2239,USA,1993,Northern Hemisphere,Fall,12-Nov-93,1993.11.12,N,1993.11.12-Silva.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.11.12-Silva.pdf
2240,SOMALIA,1993,Northern Hemisphere,Fall,Nov-93,1993.11.00,Y,1993.11.00-RussianMale.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.11.00-RussianMale.pdf
2241,USA,1993,Northern Hemisphere,Fall,30-Oct-93,1993.10.30,N,1993.10.30-Williams_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.10.30-Williams_Collier.pdf
2242,USA,1993,Northern Hemisphere,Fall,26-Oct-93,1993.10.26,N,1993.10.26-Schauman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.10.26-Schauman.pdf
2243,USA,1993,Northern Hemisphere,Fall,10-Oct-93,1993.10.10,N,1993.10.10-Johnson_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.10.10-Johnson_Collier.pdf
2244,USA,1993,Northern Hemisphere,Fall,Oct-93,1993.10.00,N,1993.10.00-WalluaRiver.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.10.00-WalluaRiver.pdf
2245,SOMALIA,1993,Northern Hemisphere,Summer,30-Sep-93,1993.09.30,Y,1993.09.30-Nicholson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.09.30-Nicholson.pdf
2246,SOUTH AFRICA,1993,Southern Hemisphere,Winter,26-Sep-93,1993.09.26,N,1993.09.26-Bouwer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.09.26-Bouwer.pdf
2247,EL SALVADOR,1993,Northern Hemisphere,Summer,16-Sep-93,1993.09.16.b,N,1993.09.16.b-Roque.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.09.16.b-Roque.pdf
2248,EL SALVADOR,1993,Northern Hemisphere,Summer,16-Sep-93,1993.09.16.a,Y,1993.09.16.a-Castaneda.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.09.16.a-Castaneda.pdf
2249,USA,1993,Northern Hemisphere,Summer,14-Sep-93,1993.09.14,N,1993.09.14-Quick.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.09.14-Quick.pdf
2250,USA,1993,Northern Hemisphere,Summer,09-Sep-93,1993.09.09,N,1993.09.09-McInarnay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.09.09-McInarnay.pdf
2251,SPAIN,1993,Northern Hemisphere,Summer,03-Sep-93,1993.09.03,N,1993.09.03-Heredia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.09.03-Heredia.pdf
2252,BAHAMAS,1993,Northern Hemisphere,Summer,21-Aug-93,1993.08.21,N,1993.08.21-Barnes.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.08.21-Barnes.pdf
2253,USA,1993,Northern Hemisphere,Summer,Reported      19-Aug-1993,1993.08.19.R,N,1993.08.19.R-Bushong.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.08.19.R-Bushong.pdf
2254,USA,1993,Northern Hemisphere,Summer, 19-Aug-1993,1993.08.19,N,1993.08.19.a-Williams.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.08.19.a-Williams.pdf
2255,USA,1993,Northern Hemisphere,Summer,15-Aug-93,1993.08.15.b,N,1993.08.15.b-Seabiscuit-Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.08.15.b-Seabiscuit-Collier.pdf
2256,USA,1993,Northern Hemisphere,Summer,15-Aug-93,1993.08.15.a,N,1993.08.15.a-Rijoes.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.08.15.a-Rijoes.pdf
2257,AUSTRALIA,1993,Southern Hemisphere,Winter,14-Aug-93,1993.08.14,N,1993.08.14-Rottnest-boat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.08.14-Rottnest-boat.pdf
2258,USA,1993,Northern Hemisphere,Summer,12-Aug-93,1993.08.12,N,1993.08.12-Miles_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.08.12-Miles_Collier.pdf
2259,NEW CALEDONIA,1993,Southern Hemisphere,Winter,Aug-93,1993.08.00.b,Y,1993.08.00.b-Kouathe.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.08.00.b-Kouathe.pdf
2260,EL SALVADOR,1993,Northern Hemisphere,Summer,Aug-93,1993.08.00.a,Y,1993.08.00.a-El-Salvador.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.08.00.a-El-Salvador.pdf
2261,SOUTH AFRICA,1993,Southern Hemisphere,Winter,30-Jul-93,1993.07.30,N,1993.07.30-LeRoux.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.07.30-LeRoux.pdf
2262,USA,1993,Northern Hemisphere,Summer,07-Jul-93,1993.07.07,N,1993.07.07-Rodrigues.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.07.07-Rodrigues.pdf
2263,BRAZIL,1993,Southern Hemisphere,Fall,30-Jun-93,1993.06.30,Y,1993.06.30-BoaViagem.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.06.30-BoaViagem.pdf
2264,REUNION,1993,Southern Hemisphere,Fall,29-Jun-93,1993.06.29,N,1993.06.29-Mercredi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.06.29-Mercredi.pdf
2265,HONG KONG,1993,Northern Hemisphere,Spring,11-Jun-93,1993.06.11.b,Y,1993.06.11.b-Kwong Kong-hing.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.06.11.b-Kwong Kong-hing.pdf
2266,MEXICO,1993,Northern Hemisphere,Spring,11-Jun-93,1993.06.11.a,Y,1993.06.11.a-Eggemeyer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.06.11.a-Eggemeyer.pdf
2267,USA,1993,Northern Hemisphere,Spring,10-Jun-93,1993.06.10,N,1993.06.10-Mozo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.06.10-Mozo.pdf
2268,AUSTRALIA,1993,Southern Hemisphere,Fall,09-Jun-93,1993.06.09,Y,1993.06.09-JohnFord.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.06.09-JohnFord.pdf
2269,AUSTRALIA,1993,Southern Hemisphere,Fall,05-Jun-93,1993.06.05,Y,1993.06.05-Cartwright.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.06.05-Cartwright.pdf
2270,HONG KONG,1993,Northern Hemisphere,Spring,01-Jun-93,1993.06.01,Y,1993.06.01-HongKong.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.06.01-HongKong.pdf
2271,USA,1993,Northern Hemisphere,Spring,Jun-93,1993.06.00,N,1993.06.00-Pferrer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.06.00-Pferrer.pdf
2272,HONG KONG,1993,Northern Hemisphere,Spring,Late May 1993,1993.05.00.b,Y,1993.05.00.b-Kowloon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.05.00.b-Kowloon.pdf
2273,SOMALIA,1993,Northern Hemisphere,Spring,May-93,1993.05.00.a,Y,1993.05.00.a-Frenchfemale.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.05.00.a-Frenchfemale.pdf
2275,BRAZIL,1993,Southern Hemisphere,Summer,27-Mar-93,1993.03.27,N,1993.03.27-JoseRicardoGouveia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.03.27-JoseRicardoGouveia.pdf
2276,USA,1993,Northern Hemisphere,Winter,22-Mar-93,1993.03.22,N,1993.03.22-Dannewitz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.03.22-Dannewitz.pdf
2277,JAPAN,1993,Northern Hemisphere,Winter,17-Mar-93,1993.03.17,N,1993.03.17-Yamamoto.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.03.17-Yamamoto.pdf
2278,USA,1993,Northern Hemisphere,Winter,14-Mar-93,1993.03.14,N,1993.03.14-Lewis.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.03.14-Lewis.pdf
2279,USA,1993,Northern Hemisphere,Winter,12-Mar-93,1993.03.12,N,1993.03.12-Berry_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.03.12-Berry_Collier.pdf
2280,NEW CALEDONIA,1993,Southern Hemisphere,Summer,Mar-93,1993.03.00,N,1993.03.00-Dolbeau.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.03.00-Dolbeau.pdf
2281,TONGA,1993,Southern Hemisphere,Summer,19-Feb-93,1993.02.19,N,1993.02.19-Fainga.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.02.19-Fainga.pdf
2282,TONGA,1993,Southern Hemisphere,Summer,18-Feb-93,1993.02.18,N,1993.02.18-SialeSime.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.02.18-SialeSime.pdf
2283,AUSTRALIA,1993,Southern Hemisphere,Summer,04-Feb-93,1993.02.04,N,1993.02.04-Bonnell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.02.04-Bonnell.pdf
2284,BRAZIL,1993,Southern Hemisphere,Summer,23-Jan-93,1993.01.23,N,1993.01.23-Veras.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.01.23-Veras.pdf
2285,AUSTRALIA,1993,Southern Hemisphere,Summer,05-Jan-93,1993.01.05,N,1993.01.05-McNally.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.01.05-McNally.pdf
2286,,1993,nan,Summer,04-Jan-93,1993.01.04,N,1993.01.04-DominicanRepublic.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.01.04-DominicanRepublic.pdf
2287,USA,1993,Northern Hemisphere,Winter,02-Jan-93,1993.01.02,N,1993.01.02-Weaver_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.01.02-Weaver_Collier.pdf
2288,ANGOLA,1993,Southern Hemisphere,Fall 1993,Fall 1993,1993.00.00.d,N,1993.00.00.d-Doyle.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.00.00.d-Doyle.pdf
2289,SOMALIA,1993,Northern Hemisphere,Spring,Between May & Nov-1993,1993.00.00.c,Y,1993.00.00.c - Somali children.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.00.00.c - Somali children.pdf
2290,TONGA,1993,Southern Hemisphere,1993,1993,1993.00.00.b,N,1993.00.00.b-Tonga.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.00.00.b-Tonga.pdf
2291,USA,1993,Northern Hemisphere,1993,1993,1993.00.00.a,N,1993.00.00.a-NV-KeyWest.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.00.00.a-NV-KeyWest.pdf
2292,USA,1992,Northern Hemisphere,Fall,28-Dec-92,1992.12.28,N,1992.12.28-Tanaka.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1992.12.28-Tanaka.pdf
2293,USA,1992,Northern Hemisphere,Fall,23-Dec-92,1992.12.23,N,1992.12.23-Chun.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1992.12.23-Chun.pdf
2294,USA,1992,Northern Hemisphere,Fall,29-Nov-92,1992.11.29,N,1992.11.29-Regan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1992.11.29-Regan.pdf
2295,USA,1992,Northern Hemisphere,Fall,25-Nov-92,1992.11.25.a,N,1992.11.25-Paul.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1992.11.25-Paul.pdf
2296,USA,1992,Northern Hemisphere,Fall,23-Nov-92,1992.11.23,N,1992.11.23-LarryBush.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1992.11.23-LarryBush.pdf
2297,USA,1992,Northern Hemisphere,Fall,14-Nov-92,1992.11.14,N,1992.11.14-Kelton_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1992.11.14-Kelton_Collier.pdf
2298,FIJI,1992,Southern Hemisphere,Spring,Reported 12-Nov-1992,1992.11.12.R,N,1992.11.12.R-Smith.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1992.11.12.R-Smith.pdf
2299,USA,1992,Northern Hemisphere,Fall,11-Nov-92,1992.11.11,N,1992.11.11-Crane_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1992.11.11-Crane_Collier.pdf
2300,USA,1992,Northern Hemisphere,Fall,06-Nov-92,1992.11.05.b,N,1992.11.05.b-Greinstein.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1992.11.05.b-Greinstein.pdf
2301,USA,1992,Northern Hemisphere,Fall,05-Nov-92,1992.11.05.a,Y,1992.11.05.a-Romento.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1992.11.05.a-Romento.pdf
2302,USA,1992,Northern Hemisphere,Fall,29-Oct-92,1992.10.29,N,1992.10.29-Schupe_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1992.10.29-Schupe_Collier.pdf
2303,USA,1992,Northern Hemisphere,Fall,22-Oct-92,1992.10.22,N,1992.10.22-Gruzinsky.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1992.10.22-Gruzinsky.pdf
2304,AUSTRALIA,1992,Southern Hemisphere,Spring,15-Oct-92,1992.10.15,N,1992.10.15-Gannicott.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1992.10.15-Gannicott.pdf
2305,BRAZIL,1992,Southern Hemisphere,Spring,11-Oct-92,1992.10.11,N,1992.10.11-MC.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1992.10.11-MC.pdf
2306,AUSTRALIA,1992,Southern Hemisphere,Spring,01-Oct-92,1992.10.01,Y,1992.10.01-Docherty.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1992.10.01-Docherty.pdf
2307,BRAZIL,1992,Southern Hemisphere,Winter,18-Sep-92,1992.09.18,N,1992.09.18-Cruz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1992.09.18-Cruz.pdf
2308,USA,1992,Northern Hemisphere,Summer,13-Sep-92,1992.09.13,N,1992.09.13-Brittain_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1992.09.13-Brittain_Collier.pdf
2309,USA,1992,Northern Hemisphere,Summer,11-Sep-92,1992.09.11,N,1992.09.11-Langbein.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1992.09.11-Langbein.pdf
2310,BRAZIL,1992,Southern Hemisphere,Winter,10-Sep-92,1992.09.10,Y,1992.09.10-BoaViagem.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1992.09.10-BoaViagem.pdf
