case_number,date,year,country,sex,age,fatal,provoked,season
2015.01.19.a,19-Jan-15,2015,AUSTRALIA,F,,0,,Winter
2015.01.17,17-Jan-15,2015,AUSTRALIA,M,,0,,Winter
2015.01.16,16-Jan-15,2015,AUSTRALIA,M,17.0,0,0,Winter
2015.01.08,08-Jan-15,2015,USA,M,38.0,0,,Winter
2015.01.06,06-Jan-15,2015,BAHAMAS,F,34.0,0,0,Winter
2015.01.03,03-Jan-15,2015,SOUTH AFRICA,M,15.0,0,0,Winter
2015.01.01,01-Jan-15,2015,USA,M,12.0,0,0,Winter
2014.12.29.b,29-Dec-14,2014,AUSTRALIA,,,0,0,Autnum
2014.12.29.a,29-Dec-14,2014,AUSTRALIA,M,17.0,1,0,Autnum
2014.12.28.d,28-Dec-14,2014,GREECE,,,0,0,Autnum
2014.12.28.c,28-Dec-14,2014,SOUTH AFRICA,,,0,,Autnum
2014.12.28.b,28-Dec-14,2014,USA,M,50.0,0,0,Autnum
2014.12.28.a,28-Dec-14,2014,AUSTRALIA,M,,0,1,Autnum
2014.12.23.R,Reported 23-Dec-2014,2014,JAPAN,M,,0,0,Autnum
2014.12.15,15-Dec-14,2014,AUSTRALIA,M,17.0,1,0,Autnum
2014.12.03.R,Reported 03-Dec-2014,2014,SPAIN,M,,0,1,Autnum
2014.11.29,29-Nov-14,2014,AUSTRALIA,M,13.0,0,0,Autnum
2014.11.20,20-Nov-14,2014,MAURITIUS,M,39.0,1,1,Autnum
2014.11.19,19-Nov-14,2014,AUSTRALIA,M,,0,,Autnum
2014.11.16,16-Nov-14,2014,USA,M,44.0,0,0,Autnum
2014.11.17,Reported 17-Nov-2014,2014,USA,,,0,,Autnum
2014.11.13,13-Nov-14,2014,USA,M,53.0,0,0,Autnum
2014.11.10,10-Nov-14,2014,AUSTRALIA,M,,0,0,Autnum
2014.11.08,08-Nov-14,2014,USA,M,18.0,0,0,Autnum
2014.10.31,31-Oct-14,2014,USA,F,34.0,0,0,Autnum
2014.10.30,29-Oct-14,2014,AUSTRALIA,M,20.0,0,1,Autnum
2014.10.22,22-Oct-14,2014,USA,F,,0,0,Autnum
2014.10.20,20-Oct-14,2014,USA,M,,0,0,Autnum
2014.10.19,19-Oct-14,2014,USA,F,,0,,Autnum
2014.10.18,18-Oct-14,2014,USA,M,,0,0,Autnum
2014.10.17,17-Oct-14,2014,AUSTRALIA,F,13.0,0,0,Autnum
2014.10.14,14-Oct-14,2014,USA,F,7.0,0,0,Autnum
2014.10.12,12-Oct-14,2014,USA,F,,0,0,Autnum
2014.10.07,07-Oct-14,2014,USA,F,40.0,0,0,Autnum
2014.10.11,11-Oct-14,2014,AUSTRALIA,M,,0,,Autnum
2014.10.05.b,05-Oct-14,2014,USA,M,29.0,0,0,Autnum
2014.10.05.a,05-Oct-14,2014,USA,M,15.0,0,0,Autnum
2014.10.03.b,03-Oct-14,2014,USA,M,,0,,Autnum
2014.10.03.a,03-Oct-14,2014,USA,M,,0,,Autnum
2014.10.02.b,02-Oct-14,2014,USA,M,28.0,0,0,Autnum
2014.10.02.a,02-Oct-14,2014,AUSTRALIA,M,23.0,0,0,Autnum
2014.09.21,21-Sep-14,2014,USA,M,,0,0,Summer
2014.09.13.R,Reported 12-Sep-2014,2014,FRENCH POLYNESIA,F,36.0,0,0,Summer
2014.09.13,13-Sep-14,2014,USA,M,,0,,Summer
2014.09.09,09-Sep-14,2014,AUSTRALIA,M,50.0,1,0,Summer
2014.09.06,06-Sep-14,2014,USA,M,43.0,0,0,Summer
2014.09.03,03-Sep-14,2014,USA,F,,0,0,Summer
2014.09.02,02-Sep-14,2014,USA,M,52.0,0,1,Summer
2014.09.00,Sep-14,2014,SPAIN,M,16.0,0,0,Summer
2014.08.31,31-Aug-14,2014,USA,F,13.0,0,0,Summer
2014.08.29.b,29-Aug-14,2014,USA,M,17.0,0,0,Summer
2014.08.29.a,29-Aug-14,2014,USA,,,0,,Summer
2014.08.28,28-Aug-14,2014,USA,M,33.0,0,1,Summer
2014.08.27.c,27-Aug-14,2014,SPAIN,F,,0,0,Summer
2014.08.27.b,27-Aug-14,2014,USA,M,29.0,0,0,Summer
2014.08.27.a,27-Aug-14,2014,USA,F,,0,0,Summer
2014.08.25,Reported 25-Aug-2014,2014,USA,M,,0,1,Summer
2014.08.24,24-Aug-14,2014,USA,,,0,0,Summer
2014.08.16,16-Aug-14,2014,AUSTRALIA,M,31.0,0,0,Summer
2014.08.12,12-Aug-14,2014,USA,M,,0,0,Summer
2014.08.10,10-Aug-14,2014,USA,M,26.0,0,0,Summer
2014.08.09.R,09-Aug-14,2014,BAHAMAS,M,,0,0,Summer
2014.08.09,09-Aug-14,2014,USA,F,10.0,0,0,Summer
2014.08.08,08-Aug-14,2014,USA,M,7.0,0,0,Summer
2014.08.06,06-Aug-14,2014,USA,M,10.0,0,0,Summer
2014.08.05,05-Aug-14,2014,USA,F,45.0,0,0,Summer
2014.08.02,02-Aug-14,2014,USA,M,,0,0,Summer
2014.08.02,02-Aug-14,2014,USA,M,8.0,0,0,Summer
2014.08.01,01-Aug-14,2014,SOUTH AFRICA,M,20.0,0,0,Summer
2014.08.00,Aug-14,2014,,M,,1,,Summer
2014.07.27,27-Jul-14,2014,USA,M,,0,0,Summer
2014.07.22,22-Jul-14,2014,REUNION,M,51.0,0,0,Summer
2014.07.21,21-Jul-14,2014,USA,M,8.0,0,0,Summer
2014.07.20,20-Jul-14,2014,SPAIN,,,0,0,Summer
2014.07.16,16-Jul-14,2014,USA,M,61.0,0,0,Summer
2014.07.14,14-Jul-14,2014,USA,M,39.0,0,0,Summer
2014.07.13,13-Jul-14,2014,BAHAMAS,M,63.0,1,,Summer
2014.07.12,12-Jul-14,2014,USA,M,,0,0,Summer
2014.07.09,09-Jul-14,2014,USA,M,14.0,0,0,Summer
2014.07.05.b,05-Jul-14,2014,USA,M,,0,1,Summer
2014.07.05.a,05-Jul-14,2014,USA,M,,0,0,Summer
2014.07.03,03-Jul-14,2014,USA,M,19.0,0,0,Summer
2014.06.27.R,Reported 27-Jun-2014,2014,ST. MARTIN,M,48.0,0,,Spring
2014.06.25,25-Jun-14,2014,BAHAMAS,M,42.0,0,0,Spring
2014.06.18.b,18-Jun-14,2014,AUSTRALIA,M,,0,0,Spring
2014.06.18.a,18-Jun-14,2014,AUSTRALIA,M,15.0,0,0,Spring
2014.06.17.R,Reported 17-Jun-2014,2014,AUSTRALIA,M,,0,1,Spring
2014.06.09.c,09-Jun-14,2014,BRAZIL,M,43.0,0,0,Spring
2014.06.09.b,09-Jun-14,2014,USA,M,16.0,0,0,Spring
2014.06.09.a,09-Jun-14,2014,AUSTRALIA,M,39.0,0,0,Spring
2014.06.08,08-Jun-14,2014,JAPAN,M,43.0,0,0,Spring
2014.06.07,07-Jun-14,2014,USA,F,14.0,0,0,Spring
2014.06.01.c,01-Jun-14,2014,USA,F,22.0,0,0,Spring
2014.06.01.b,01-Jun-14,2014,AUSTRALIA,M,,0,0,Spring
2014.06.01.a,01-Jun-14,2014,USA,F,37.0,0,0,Spring
2014.05.27.R,24-May-14,2014,AUSTRALIA,F,29.0,0,0,Spring
2014.05.23,23-May-14,2014,FRANCE,M,,0,0,Spring
2014.05.22,22-May-14,2014,AUSTRALIA,M,10.0,0,1,Spring
2015.11.20,20-Nov-15,2015,ECUADOR,M,55.0,0,0,Autnum
2014.05.15,15-May-14,2014,USA,F,38.0,0,0,Spring
2014.05.14,14-May-14,2014,AUSTRALIA,M,35.0,0,0,Spring
2014.05.13,13-May-14,2014,USA,F,44.0,0,0,Spring
2014.05.11,11-May-14,2014,USA,M,12.0,0,0,Spring
2014.05.10.R,Reported 10-May-2014,2014,USA,M,,0,,Spring
2014.05.06,06-May-14,2014,USA,F,40.0,0,0,Spring
2014.05.01,01-May-14,2014,USA,M,23.0,0,0,Spring
2014.04.24,24-Apr-14,2014,AUSTRALIA,M,,0,0,Spring
2014.04.22,22-Apr-14,2014,USA,,42.0,0,0,Spring
2014.04.15,15-Apr-14,2014,USA,M,25.0,0,0,Spring
2014.04.12.R,Reported 12-Apr-2014,2014,SOUTH AFRICA,,,0,,Spring
2014.04.12,12-Apr-14,2014,SOUTH AFRICA,M,,0,1,Spring
2014.04.04.b,04-Apr-14,2014,USA,M,,0,0,Spring
2014.04.04.a,04-Apr-14,2014,USA,M,,0,0,Spring
2014.04.03,03-Apr-14,2014,AUSTRALIA,F,63.0,1,0,Spring
2014.03.29,29-Mar-14,2014,AUSTRALIA,M,38.0,1,,Winter
2014.03.22.b,22-Mar-14,2014,SOUTH AFRICA,M,66.0,1,0,Winter
2014.03.22.a,22-Mar-14,2014,USA,M,,0,0,Winter
2014.03.21,21-Mar-14,2014,USA,M,9.0,0,0,Winter
2014.03.18.c,18-Mar-14,2014,NEW CALEDONIA,M,42.0,0,0,Winter
2014.03.18.b,18-Mar-14,2014,AUSTRALIA,M,42.0,0,0,Winter
2014.03.13,13-Mar-14,2014,CAYMAN ISLANDS,M,,0,,Winter
2014.03.18,18-Mar-14,2014,AUSTRALIA,F,10.0,0,,Winter
2014.03.12,12-Mar-14,2014,AUSTRALIA,M,,0,0,Winter
2014.03.02,02-Mar-14,2014,USA,M,21.0,0,0,Winter
2014.02.20,20-Feb-14,2014,FRENCH POLYNESIA,M,21.0,0,0,Winter
2014.02.17,Reported 17-Feb-2014,2014,PAPUA NEW GUINEA,M,21.0,0,,Winter
2014.02.08,08-Feb-14,2014,AUSTRALIA,M,28.0,1,0,Winter
2014.02.07.b,07-Feb-14,2014,TRINIDAD & TOBAGO,M,,0,1,Winter
2014.02.07,07-Feb-14,2014,NEW ZEALAND,M,28.0,0,0,Winter
2014.01.26,26-Jan-14,2014,AUSTRALIA,M,,0,1,Winter
2014.01.25,25-Jan-14,2014,NEW ZEALAND,M,24.0,0,0,Winter
2014.01.04,04-Jan-14,2014,JAPAN,M,31.0,0,0,Winter
2014.00.00,2014,2014,NEW ZEALAND,,,0,,
2013.12.25,25-Dec-13,2013,NEW CALEDONIA,M,37.0,0,0,Autnum
