Date,Year,Type,Area,Location,Activity,Sex,Fatal (Y/N),Species
1940-12-19,1940,Unprovoked,Queensland,Double Island Beach,Fishing,M,N,
1940-12-10,1940,Provoked,Northern Territory,Darwin,Unknown,M,N,
1940-09-01,1940,Unprovoked,Panama Bay (Pacific Ocean),Otoque Island,Bathing,M,Y,Shark
1940-07-13,1940,Unprovoked,South Carolina,"Folly Beach, Charleston County",Standing,M,N,
1940-07-13,1940,Unprovoked,South Carolina,"Folly Beach, Charleston County",Standing,M,N,
1940-06-30,1940,Unprovoked,North Carolina,"Holden Beach, Brunswick County",Fishing,M,N,Shark
1940-03-31,1940,Unprovoked,KwaZulu-Natal,"Danger Pool, Winkelspruit, South Coast",Treading Water,M,Y,White Shark
1940-03-20,1940,Unprovoked,New South Wales,Gerringong,Unknown,M,N,Wobbegong Shark
1940-02-22,1940,Unprovoked,KwaZulu-Natal,"Inyoni Rocks, South Coast",Swimming,M,Y,White Shark
1940-02-20,1940,Boating,New South Wales,Sydney Harbour,Unknown,Unknown,N,
1940-02-04,1940,Unprovoked,New South Wales,"North Brighton, Botany Bay",Wading,M,Y,
1940-01-29,1940,Unprovoked,Queensland,Brisbane River,Unknown,M,N,Small Shark
1940-01-23,1940,Unprovoked,New South Wales,"North Brighton, Botany Bay",Swimming,M,Y,Shark
1940-01-15,1940,Unprovoked,Queensland,"Surfers Paradise, near Southport",Swimming,M,N,
1940-01-07,1940,Unprovoked,KwaZulu-Natal,"Warner Beach, South Coast",Swimming,M,Y,Shark
1940-01-01,1940,Unprovoked,Queensland,"Malagil, Barrier Reef",Unknown,M,N,
1940-01-01,1940,Boating,Adriatic Sea,Koper,Unknown,Unknown,N,White Shark
1940-01-01,1940,Unprovoked,Bwagaoia,"Bagalina, North coast Misima Island",Unknown,F,Y,
1940-01-01,1940,Unprovoked,Western Papuan Gulf,Kerema,Unknown,Unknown,N,
1940-01-01,1940,Invalid,Eastern Cape Province,Kidd's Beach,Swimming,Unknown,Unknown,
1940-01-01,1940,Invalid,KwaZulu-Natal,Winkelspruit,Unknown,F,Unknown,
1940-01-01,1940,Invalid,Eastern Cape Province,"Kowie River Mouth, Port Alfred",Unknown,F,Unknown,
1939-12-28,1939,Invalid,New South Wales,"Cabramatta Creek, Georges River",Swimming,M,Unknown,Shark
