,Year,Month,Time_Day,Country,Activity,Sex,Fatal_Injury,Age
3544,1963,January,Noon,South africa,Free diving,M,N,27
3545,1963,January,Afternoon,South africa,Spearfishing,M,N,24
3546,1963,January,Unknown,Australia,Shark fishing,Unknown,N,Unknown
3547,1963,January,Unknown,Mozambique,Unknown,Unknown,N,Unknown
3548,1963,Unknown,Unknown,Fiji,Unknown,Unknown,Unknown,Unknown
3549,1963,Unknown,Unknown,Seychelles,Fishing,M,Y,Unknown
3550,1962,December,Morning,South africa,Scuba diving,M,N,Unknown
3551,1962,December,Noon,Australia,Spearfishing,M,Y,16
3552,1962,December,Unknown,South africa,Fishing,Unknown,N,Unknown
3553,1962,November,Unknown,Australia,Spearfishing,M,N,26
3554,1962,November,Unknown,Australia,Unknown,M,Y,Unknown
3555,1962,November,Noon,Usa,Spearfishing,M,N,24
3556,1962,November,Unknown,Australia,Fishing,Unknown,N,Unknown
3557,1962,November,Morning,Mid atlantic ocean,Abandoning burning ship captain george in raging seas,M,N,Unknown
3558,1962,October,Afternoon,South africa,Spearfishing,M,N,30
3559,1962,October,Morning,Mexico,Wading,M,Y,32
3560,1962,October,Unknown,Admiralty islands,Unknown,M,N,26
3561,1962,October,Unknown,Australia,Adrift after wave swamped engine,M,N,Unknown
3562,1962,October,Unknown,Usa,Overcome by co fumes fell overboard from 36 fishing cruiser  prop slashed arm,F,N,43
3563,1962,October,Unknown,Panama,Sitting in shallows,M,Y,1
3564,1962,Septembrer,Noon,British west indies,Spearfishing,M,N,24
3565,1962,Septembrer,Afternoon,Mexico,Swimming,M,N,20
3566,1962,Septembrer,Unknown,South atlantic ocean,When a deckhand jumped overboard mciver dived after him with a rescue line ,M,Y,29
3567,1962,Septembrer,Morning,Italy,Spearfishing,M,Y,28
3568,1962,August,Unknown,Israel,Fishing,M,Unknown,Unknown
3569,1962,August,Unknown,Turkey,Unknown,M,N,Unknown
3570,1962,August,Day,Papua new guinea,Fishing,M,N,49
