Year,Country,Sex,Activity,Type,Fatal
2014,Australia,M,Spearfishing,Unprovoked,N
2014,USA,M,Standing,Unprovoked,N
2014,USA,M,,Unprovoked,N
2014,Bahamas,M,Spearfishing,Unprovoked,N
2014,USA,F,Swimming,Unprovoked,N
2014,USA,M,Swimming,Unprovoked,N
2014,USA,M,Boogie boarding,Unprovoked,N
2014,USA,F,Swimming,Unprovoked,N
2014,USA,M,Surfing,Unprovoked,N
2014,USA,M,Boogie boarding,Unprovoked,N
2014,South Africa,M,Surfing,Unprovoked,N
2014,USA,M,Swimming,Unprovoked,N
2014,Reunion,M,Surfing,Unprovoked,N
2014,USA,M,Standing,Unprovoked,N
2014,Spain,Unkown,Wading,Unprovoked,N
2014,USA,M,Swimming,Unprovoked,N
2014,USA,M,Swimming,Unprovoked,N
2014,Bahamas,M,Shark diving,Invalid,Y
2014,USA,M,Body surfing,Unprovoked,N
2014,USA,M,Surfing,Unprovoked,N
2014,USA,M,Swimming,Provoked,N
2014,USA,M,Surfing,Unprovoked,N
2014,USA,M,Body surfing,Unprovoked,N
2014,St. Martin,M,Transatlantic Rowing,Boat,N
2014,Bahamas,M,Spearfishing,Unprovoked,N
2014,Australia,M,Surfing,Unprovoked,N
2014,Australia,M,Body boarding,Unprovoked,N
2014,Australia,M,Petting a shark,Provoked,N
2014,Brazil,M,Fishing,Unprovoked,N
2014,USA,M,Standing,Unprovoked,N
2014,Australia,M,Body boarding,Unprovoked,N
2014,Japan,M,Surfing,Unprovoked,N
2014,USA,F,Kneeling in the water,Unprovoked,N
2014,USA,F,Swimming,Unprovoked,N
2014,Australia,M,Surfing,Unprovoked,N
2014,USA,F,Tagging sharks,Unprovoked,N
2014,Australia,F,Fell into the water,Unprovoked,N
2014,France,M,Scuba diving,Unprovoked,N
2014,Australia,M,Teasing a shark,Provoked,N
2015,Ecuador,M,Snorkeling,Unprovoked,N
2014,USA,F,Body boarding,Unprovoked,N
2014,Australia,M,Surfing,Unprovoked,N
2014,USA,F,Wading,Unprovoked,N
2014,USA,M,Surfing,Unprovoked,N
2014,USA,M,Diving,Invalid,N
2014,USA,F,Swimming,Unprovoked,N
2014,USA,M,Surfing,Unprovoked,N
2014,Australia,M,Spearfishing,Unprovoked,N
2014,USA,M,Swimming,Unprovoked,N
2014,USA,M,Wading,Unprovoked,N
2014,South Africa,Unkown,Shark watching,Boat,N
2014,South Africa,M,Fishing,Provoked,N
2014,USA,M,Surfing,Unprovoked,N
2014,USA,M,Surfing,Unprovoked,N
2014,Australia,F,Swimming,Unprovoked,Y
2014,Australia,M,Diving for lobsters,Invalid,Y
2014,South Africa,M,Swimming,Unprovoked,Y
2014,USA,M,Kite Surfing,Unprovoked,N
2014,USA,M,Surfing,Unprovoked,N
2014,New Caledonia,M,Kite Surfing,Unprovoked,N
2014,Australia,M,Surfing,Unprovoked,N
2014,Cayman Islands,M,Scuba diving / culling lionfish,Invalid,N
2014,Australia,F,,Invalid,N
2014,Australia,M,Swimming,Unprovoked,N
2014,USA,M,Surfing,Unprovoked,N
2014,French Polynesia,M,Kitesurfing,Unprovoked,N
2014,Papua New Guinea,M,Sailing,Boat,N
2014,Australia,M,Spearfishing / Free diving,Unprovoked,Y
2014,Trinidad & Tobago,M,Fishing,Provoked,N
2014,New Zealand,M,Surfing,Unprovoked,N
2014,Australia,M,Fishing,Provoked,N
2014,New Zealand,M,Spearfishing,Unprovoked,N
2014,Japan,M,Sea disaster,Sea Disaster,N
2014,New Zealand,Unkown,Filming a documentary,Boat,N
2013,New Caledonia,M,Snorkeling,Unprovoked,N
2013,South Africa,M,Surfing,Unprovoked,N
2013,Kiribati,M,Attempting to remove fishing net from submerged object,Unprovoked,N
2013,USA,M,Boogie boarding,Unprovoked,N
2013,USA,M,Surfing,Unprovoked,N
2013,Australia,M,Surfing,Unprovoked,N
2013,USA,M,Kayaking / Fishing,Unprovoked,Y
2013,Australia,M,Body boarding,Unprovoked,Y
2013,USA,F,Snorkeling,Unprovoked,N
2013,Australia,M,Surfing,Unprovoked,Y
2013,USA,M,Surfing,Unprovoked,N
2013,Australia,M,Surfing,Unprovoked,N
2013,Bahamas,M,Shark fishing,Provoked,N
2013,USA,M,Body boarding,Unprovoked,N
2013,USA,M,Surfing,Unprovoked,N
2013,USA,M,Kiteboarding,Unprovoked,N
2013,Australia,F,Snorkeling,Unprovoked,N
2013,Reunion,M,Body boarding,Unprovoked,N
2013,Australia,M,Diving for crayfish,Unprovoked,N
2013,Australia,M,Surfing,Unprovoked,N
2013,USA,M,Diving ,Unprovoked,N
2013,USA,M,Surfing,Unprovoked,N
2013,USA,M,Wading,Unprovoked,N
2013,South Africa,M,Swimming / snorkeling,Unprovoked,Y
2013,Australia,M,Diving for Abalone,Unprovoked,N
